tissue	phecode	beta	p-value	gene	trait	r2	OR	no of cases	no of controls
Colon_Sigmoid	X411.3	-0.637656	5.68927e-5	CARF	Angina pectoris	6.32640e-2	8.90063e-1	1375	13196
Whole_Blood	X535.9	1.87725	5.70374e-5	MOCS1	Gastritis and duodenitis, NOS	1.17155e-2	1.27075e+0	134	19809
Ovary	X870.4	-1.11381	5.71449e-5	DNAJB1	Open wound of nose and sinus	1.49003e-1	4.34054e-1	22	19977
Cells_Transformed_fibroblasts	X306.1	85.0851	5.71806e-5	DOK3	Mental disorders durring/after pregnancy	2.11904e-2	1.24598e+0	21	6492
Testis	X279.1	0.957911	5.71964e-5	TEX261	Immunity deficiency	8.69796e-2	1.17218e+0	609	20961
Heart_Atrial_Appendage	X743.21	-1.23339	5.73070e-5	TIGD7	Pathologic fracture of vertebrae	8.13768e-2	7.45303e-1	170	17753
Artery_Tibial	X958.1	7.05039	5.73404e-5	DDX60	Postoperative shock	1.60384e-2	1.26071e+0	76	22441
Testis	X345	-0.230477	5.73580e-5	COX16	Epilepsy, recurrent seizures, convulsions	3.02868e-1	8.95191e-1	1228	17257
Lung	X743.9	0.964757	5.74733e-5	C1orf43	Osteopenia or other disorder of bone and cartilage	1.22471e-2	1.10855e+0	1525	17753
Colon_Transverse	X411	-0.286615	5.74738e-5	CARF	Ischemic Heart Disease	8.29322e-2	9.37090e-1	7603	13196
Cells_Transformed_fibroblasts	X691.3	-3.45567	5.79129e-5	SIGLEC10	Congenital pigmentary anomalies of skin	7.30974e-2	4.72658e-1	32	19985
Stomach	X263	-50.1898	5.79554e-5	PDE11A	Other nutritional deficiency	2.10377e-2	8.30280e-1	113	16572
Lung	X911	-43.6735	5.79937e-5	ZNF287	Blister	1.00606e-2	9.05205e-1	21	23190
Cells_Transformed_fibroblasts	X715	-0.63061	5.80800e-5	SLC25A23	Other inflammatory spondylopathies	2.78652e-1	7.71985e-1	260	19052
Brain_Frontal_Cortex_BA9	X573.1	53.6116	5.80897e-5	CLCC1	Chronic passive congestion of liver	5.53937e-2	1.82319e+0	23	16784
Artery_Coronary	X807	-0.67239	5.81402e-5	OSBPL10	Fracture of ribs	9.56477e-2	7.98151e-1	319	19279
Colon_Transverse	X519.2	1.80005	5.81730e-5	CDO1	Respiratory complications	5.25373e-2	1.62029e+0	79	20542
Skin_Sun_Exposed_Lower_leg	X803	-0.411892	5.81932e-5	BEST4	Fracture of upper limb	9.48798e-2	8.75483e-1	879	19279
Small_Intestine_Terminal_Ileum	X359.2	-0.571892	5.83640e-5	MRPS9	Myopathy	1.76525e-1	8.54563e-1	623	20339
Brain_Cerebellum	X610.3	-1.79651	5.84462e-5	KCNH1	Fibrosclerosis of breast	3.53978e-2	4.85041e-1	29	9098
Thyroid	X292.4	0.933941	5.85064e-5	DOK3	Altered mental status	6.03396e-2	1.09857e+0	1624	17533
Ovary	X874	-8.45504	5.85293e-5	SERP1	Complication of amputation stump	5.60292e-2	6.46090e-1	73	19977
Adipose_Visceral_Omentum	X430.2	1.23004	5.85521e-5	DOK3	Intracerebral hemorrhage	9.98954e-2	1.23147e+0	241	17383
Skin_Sun_Exposed_Lower_leg	X963.1	-0.589413	5.86863e-5	RPL36	Antineoplastic and immunosuppressive drugs causing adverse effects	1.81434e-1	8.82209e-1	607	17731
Brain_Anterior_cingulate_cortex_BA24	X279.1	1.18191	5.89948e-5	ANKRD53	Immunity deficiency	7.49752e-2	1.17059e+0	609	20961
Colon_Sigmoid	X250.23	1.05368	5.91096e-5	ZNF132	Type 2 diabetes with ophthalmic manifestations	1.37970e-1	1.22644e+0	415	13897
Artery_Coronary	X333.8	-14.8869	5.91716e-5	CDH26	Other degenerative diseases of the basal ganglia	3.30194e-2	6.75715e-1	35	17257
Artery_Tibial	X301.2	-5.99673	5.92648e-5	SNRPB2	Antisocial/borderline personality disorder	1.09824e-2	5.89503e-1	71	14456
Skin_Sun_Exposed_Lower_leg	X524.3	4.05462	5.93036e-5	ARHGAP22	Anomalies of tooth position/malocclusion	2.40577e-2	1.54211e+0	93	21330
Pancreas	X358.1	-3.91012	5.93481e-5	MTIF3	Myasthenia gravis	2.49580e-2	5.13983e-1	49	20339
Esophagus_Mucosa	X277.4	-2.52066	5.95222e-5	MYOF	Disorders of bilirubin excretion	1.05643e-1	5.85153e-1	27	22192
Ovary	X352.2	-1.8474	5.95483e-5	PPHLN1	Facial nerve disorders [CN7]	8.74062e-2	6.92630e-1	118	19768
Brain_Nucleus_accumbens_basal_ganglia	X38.3	0.574313	5.96562e-5	RALB	Bacteremia	1.26185e-1	1.12300e+0	1225	18352
Vagina	X426.4	-1.30846	5.97067e-5	NME7	Anomalous atrioventricular excitation	1.97956e-1	6.50703e-1	83	10731
Whole_Blood	X741.4	4.34504	5.97930e-5	SAMD10	Joint effusions	2.69851e-2	1.19372e+0	400	19267
Esophagus_Mucosa	X958	-1.85862	5.98413e-5	RASL11A	Certain early complications of trauma or procedure	3.10863e-2	8.10422e-1	341	22441
Breast_Mammary_Tissue	X430	1.04183	5.99152e-5	DOK3	Intracranial hemorrhage	2.11940e-2	1.12362e+0	1002	17383
Brain_Cerebellum	X286.1	-1.87019	5.99225e-5	NME7	Congenital coagulation defects	4.46282e-2	7.25689e-1	155	15873
Lung	X157	-3.80669	5.99446e-5	GNAZ	Pancreatic cancer	1.42992e-2	7.39664e-1	218	20027
Esophagus_Muscularis	X411.3	-0.528728	6.03030e-5	CARF	Angina pectoris	8.13358e-2	8.89721e-1	1375	13196
Muscle_Skeletal	X738	1.93743	6.03181e-5	SLC40A1	Other acquired musculoskeletal deformity	2.59715e-2	1.20308e+0	427	20000
Whole_Blood	X965	1.69583	6.05543e-5	CCNT1	Poisoning by analgesics, antipyretics, and antirheumatics	4.02342e-2	1.23288e+0	344	17731
Uterus	X300.11	9.41812	6.05563e-5	MYH11	Generalized anxiety disorder	1.17838e-1	1.27553e+0	335	14456
Esophagus_Muscularis	X426.25	-3.11652	6.06021e-5	RHPN2	Other heart block	8.56821e-2	4.89963e-1	25	10731
Small_Intestine_Terminal_Ileum	X703.1	-1.16195	6.06722e-5	ARHGEF11	Ingrowing nail	1.16573e-1	7.47030e-1	175	21732
Adrenal_Gland	X293	-2.08469	6.07164e-5	TGFBI	Symptoms involving head and neck	2.88552e-2	5.49576e-1	39	21545
Breast_Mammary_Tissue	X411.1	-0.475936	6.08357e-5	CARF	Unstable angina (intermediate coronary syndrome)	7.97776e-2	8.89843e-1	1440	13196
Pituitary	X411.3	0.324921	6.10562e-5	SERP1	Angina pectoris	6.13726e-2	1.12982e+0	1375	13196
Spleen	X636.3	1.84358	6.12125e-5	RNF185	Hemorrhage in early pregnancy	5.82673e-2	1.68761e+0	53	11199
Adipose_Visceral_Omentum	X870.1	-2.74487	6.12347e-5	ABT1	Open wound or laceration of eye or eyelid	5.60504e-2	4.80033e-1	24	19977
Cells_Transformed_fibroblasts	X442.11	1.77484	6.12567e-5	PKMYT1	Abdominal aortic aneurysm	1.12457e-2	1.18864e+0	416	16965
Pituitary	X573.7	-0.305265	6.13667e-5	APTX	Abnormal results of function study of liver	4.40871e-1	8.58596e-1	675	16784
Liver	X747.2	1.15217	6.13854e-5	BORA	Congenital anomalies of peripheral vascular system	7.12473e-2	1.59610e+0	68	21722
Lung	X694	-30.1048	6.17120e-5	ZNF287	Dyschromia and Vitiligo	1.00606e-2	9.33652e-1	305	19985
Skin_Not_Sun_Exposed_Suprapubic	X411.8	-0.462986	6.17963e-5	CARF	Other chronic ischemic heart disease, unspecified	1.02435e-1	9.05645e-1	2297	13196
Muscle_Skeletal	X596.5	0.624866	6.18558e-5	TEX261	Functional disorders of bladder	1.05952e-1	1.19763e+0	479	20575
Pituitary	X371.3	-2.73617	6.18677e-5	CLEC10A	Inflammation of eyelids	7.02593e-2	8.07739e-1	364	20046
Skin_Not_Sun_Exposed_Suprapubic	X425.8	4.04157	6.18761e-5	SNRPF	Other cardiomyopathy	6.44261e-2	1.50256e+0	49	19395
Pancreas	X513.32	-1.64208	6.19061e-5	DPH6	Orthopnea	7.89312e-2	6.51018e-1	58	20630
Pancreas	X277.4	-1.67959	6.19210e-5	MYOF	Disorders of bilirubin excretion	1.79608e-1	6.09781e-1	27	22192
Nerve_Tibial	X695.41	-5.01534	6.19354e-5	SEMA7A	Cutaneous lupus erythematosus	2.53742e-2	5.76201e-1	54	19768
Brain_Cortex	X279	0.55453	6.22352e-5	KCNH1	Disorders involving the immune mechanism	5.92418e-2	1.16325e+0	683	20961
Pituitary	X245.2	1.36017	6.24238e-5	BTN2A2	Chronic thyroiditis	1.03440e-1	1.35396e+0	127	17866
Cells_Transformed_fibroblasts	X528.1	2.17755	6.25042e-5	RSPH3	Stomatitis and mucositis	1.36349e-2	1.22680e+0	315	21574
Stomach	X355.1	-1.3998	6.25564e-5	YEATS4	Chronic pain syndrome	1.10268e-1	7.75714e-1	257	19768
Brain_Cerebellum	X260.2	-0.590675	6.25632e-5	RHOF	severe protein-calorie malnutrition	3.97564e-2	8.69285e-1	716	16572
Adrenal_Gland	X745	0.152666	6.28026e-5	MOCS1	Pain in joint	2.19727e-1	1.06212e+0	6661	14081
Brain_Cerebellar_Hemisphere	X610	1.12551	6.28519e-5	PROZ	Benign mammary dysplasias	1.00071e-1	1.22110e+0	453	9098
Esophagus_Muscularis	X686.1	1.47252	6.29379e-5	WDTC1	Carbuncle and furuncle	2.09843e-2	1.43954e+0	90	18720
Brain_Cerebellar_Hemisphere	X276.42	0.981955	6.29515e-5	MRPL35	Alkalosis	4.56093e-2	1.25954e+0	202	13027
Lung	X295.2	-2.90027	6.30561e-5	LRRC29	Paranoid disorders	2.40335e-2	7.08156e-1	43	14456
Lung	X724.8	-4.21276	6.32755e-5	MGAT1	Other symptoms referable to back	1.37502e-2	6.64566e-1	43	17801
Artery_Aorta	X355.1	-1.07468	6.33389e-5	COMMD4	Chronic pain syndrome	3.51912e-2	8.22084e-1	257	19768
Adrenal_Gland	X327.31	1.73506	6.34101e-5	PTGR2	Central/nonobstroctive sleep apnea	9.63974e-2	1.74612e+0	27	17464
Artery_Aorta	X599.3	-1.59639	6.34221e-5	ZSCAN9	Dysuria	1.48056e-2	8.70975e-1	1001	16444
Esophagus_Muscularis	X530.6	6.07371	6.34888e-5	DNAJC13	Diverticulum of esophagus, acquired	7.19407e-2	3.23831e+0	36	13499
Brain_Cerebellum	X446.3	-6.02606	6.35151e-5	PDE6B	Hypersensitivity angiitis	1.12866e-1	6.33702e-1	28	16965
Artery_Tibial	X364.2	-3.32066	6.35472e-5	RGS22	Corneal edema	3.86752e-2	5.66984e-1	44	20443
Pancreas	X521	-10.15	6.35821e-5	UCK1	Diseases of hard tissues of teeth	2.26829e-2	7.98762e-1	506	21330
Skin_Not_Sun_Exposed_Suprapubic	X228.1	-1.61267	6.37416e-5	BTF3	Hemangioma of skin and subcutaneous tissue	6.01554e-2	7.60942e-1	102	22676
Adipose_Subcutaneous	X589	-2.20761	6.37536e-5	POC1B	Abnormal results of function study of kidney	9.05350e-2	6.74398e-1	81	15383
Cells_Transformed_fibroblasts	X717	-6.37923	6.38047e-5	TAS2R10	Polymyalgia Rheumatica	3.13351e-2	7.33587e-1	158	23042
Thyroid	X110.2	-2.22631	6.38178e-5	KIAA1468	Dermatomycoses	1.06453e-1	5.29244e-1	35	19642
Adipose_Subcutaneous	X694.2	1.31358	6.38321e-5	GALNS	Other dyschromia	9.22269e-2	1.26247e+0	289	19985
Muscle_Skeletal	X722.1	-1.32525	6.39135e-5	KIAA0513	Displacement of intervertebral disc	1.58554e-2	8.21220e-1	457	17801
Skin_Sun_Exposed_Lower_leg	X800.4	1.07352	6.39346e-5	BTN2A2	Fracture of patella	1.69287e-1	1.43433e+0	124	19279
Stomach	X749.2	2.18347	6.41089e-5	POLM	Congenital anomalies of skull and face bones	1.41996e-1	1.77085e+0	26	22997
Brain_Frontal_Cortex_BA9	X327.31	2.00248	6.41313e-5	PTGR2	Central/nonobstroctive sleep apnea	1.50393e-1	1.67811e+0	27	17464
Skin_Sun_Exposed_Lower_leg	X250.23	2.13006	6.42897e-5	CISD1	Type 2 diabetes with ophthalmic manifestations	1.06488e-2	1.22914e+0	415	13897
Colon_Transverse	X444	-1.06908	6.43147e-5	BIVM	Arterial embolism and thrombosis	5.59813e-2	8.31660e-1	332	16965
Brain_Hippocampus	X624	16.7499	6.44059e-5	ZNF835	Symptoms involving female genital tract	7.67851e-2	1.56417e+0	59	9949
Esophagus_Muscularis	X599	0.469529	6.45026e-5	ZNF141	Other symptoms/disorders or the urinary system	3.26052e-2	1.07631e+0	3543	16444
Brain_Cerebellum	X370	0.663132	6.45309e-5	SHBG	Keratitis	1.28111e-1	1.23100e+0	368	20046
Brain_Hypothalamus	X499	11.8392	6.45653e-5	NECAB1	Cystic fibrosis	1.32650e-1	1.55061e+0	100	23131
Colon_Transverse	X990	-2.82491	6.46186e-5	RGS22	Effects radiation NOS	4.97452e-2	7.85669e-1	276	20342
Adipose_Subcutaneous	X71.1	-2.12958	6.46584e-5	AKT1	HIV infection, symptomatic	4.11984e-2	7.41061e-1	139	19087
Skin_Sun_Exposed_Lower_leg	X381.11	-1.05531	6.48162e-5	CLCC1	Suppurative and unspecified otitis media	2.29155e-2	8.10187e-1	375	20771
Esophagus_Mucosa	X190	4.15514	6.48240e-5	GALNS	Cancer of eye	3.42683e-2	1.76087e+0	56	22227
Adipose_Subcutaneous	X572	-0.702921	6.50062e-5	GALNS	Ascites (non malignant)	9.22269e-2	8.82742e-1	1108	16784
Vagina	X187	-1.62093	6.51399e-5	PKDREJ	Cancer of other male genital organs	1.37547e-1	6.62886e-1	58	10494
Brain_Putamen_basal_ganglia	X348.9	0.344718	6.51529e-5	DGCR8	Other conditions of brain, NOS	6.07118e-2	1.18863e+0	563	17257
Skin_Not_Sun_Exposed_Suprapubic	X344	-1.90837	6.51771e-5	ARHGEF16	Other paralytic syndromes	6.28664e-2	7.40980e-1	239	17257
Colon_Sigmoid	X430.2	0.526659	6.55353e-5	BEST4	Intracerebral hemorrhage	1.07365e-1	1.30372e+0	241	17383
Brain_Hypothalamus	X287.3	0.376973	6.56165e-5	ARHGAP22	Thrombocytopenia	1.06905e-1	1.10628e+0	1777	15873
Breast_Mammary_Tissue	X272.11	-0.387962	6.57342e-5	PROZ	Hypercholesterolemia	1.02351e-1	9.22604e-1	3264	11294
Cells_Transformed_fibroblasts	X709.5	-2.9552	6.59136e-5	VAV3	Dermatomyositis	5.24005e-2	5.50843e-1	37	19689
Pancreas	X429	0.581493	6.59406e-5	YEATS4	Ill-defined descriptions and complications of heart disease	7.24258e-2	1.12528e+0	1190	15149
Artery_Coronary	X364.4	3.28754	6.59515e-5	CAPN9	Corneal degenerations	6.05789e-2	2.07138e+0	35	20443
Liver	X289.8	-1.59148	6.60253e-5	ATP6V1E1	Polycythemia vera, secondary	8.50099e-2	6.73172e-1	94	16061
Esophagus_Gastroesophageal_Junction	X296.2	-0.339734	6.62392e-5	PPP2R1B	Depression	5.85655e-2	9.26798e-1	3570	14456
Heart_Left_Ventricle	X751	-0.619909	6.62867e-5	SCO2	Genitourinary congenital anomalies	5.22503e-2	8.26195e-1	456	21786
Brain_Cerebellum	X990	-1.08753	6.63032e-5	STAC	Effects radiation NOS	1.14784e-1	8.08302e-1	276	20342
Skin_Sun_Exposed_Lower_leg	X394.2	-2.72592	6.66085e-5	DDX56	Mitral valve disease	1.60966e-2	7.18740e-1	155	16709
Esophagus_Muscularis	X714	0.808239	6.66996e-5	ATG12	Rheumatoid arthritis and other inflammatory polyarthropathies	5.03749e-2	1.14252e+0	928	19052
Ovary	X772.2	0.596565	6.67589e-5	MUC4	Spasm of muscle	1.29277e-1	1.19200e+0	485	20241
Esophagus_Muscularis	X655	0.892307	6.68231e-5	PPP2R1B	Known or suspected fetal abnormality affecting management of mother	1.04026e-1	1.28485e+0	234	11198
Thyroid	X966	0.680656	6.69128e-5	LARS	Poisoning by anticonvulsants and anti-Parkinsonism drugs	4.04649e-1	1.44118e+0	103	17731
Spleen	X444.2	1.8787	6.69904e-5	ATAT1	Embolism and thrombosis of abdominal aorta	1.15527e-1	1.75573e+0	51	16965
Muscle_Skeletal	X540	3.1372	6.72807e-5	ARHGEF4	Appendiceal conditions	1.69287e-2	1.33238e+0	127	23060
Cells_Transformed_fibroblasts	X457	-0.412633	6.72889e-5	SCD5	Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin	1.09962e-1	8.84920e-1	1128	15674
Adipose_Visceral_Omentum	X755.1	2.82067	6.73292e-5	SLC37A4	Congenital deformities of feet	3.55212e-2	1.86589e+0	31	22558
Brain_Nucleus_accumbens_basal_ganglia	X480.11	-2.39234	6.74879e-5	MRPS26	Pneumococcal pneumonia	9.90003e-2	6.74714e-1	69	16775
Adrenal_Gland	X359.2	-0.584562	6.75251e-5	MRPS9	Myopathy	1.37695e-1	8.56214e-1	623	20339
Pancreas	X272	-0.317523	6.75269e-5	CELSR2	Disorders of lipoid metabolism	3.77395e-2	9.43075e-1	9839	11294
Muscle_Skeletal	X379.9	4.05958	6.75322e-5	MRPS9	Pain, swelling or discharge of eye	1.48618e-1	1.59808e+0	79	20059
Colon_Transverse	X264.9	3.3418	6.76145e-5	STRIP2	Lack of normal physiological development, unspecified	2.63021e-2	1.41880e+0	108	16572
Adipose_Subcutaneous	X513.32	-2.20783	6.76307e-5	ZDHHC4	Orthopnea	2.86369e-2	6.55510e-1	58	20630
Esophagus_Mucosa	X772.3	-12.3686	6.78126e-5	LPGAT1	Muscle weakness	1.13403e-2	8.88415e-1	879	20241
Vagina	X362.2	-0.741341	6.78414e-5	WFDC3	Degeneration of macula and posterior pole of retina	1.18053e-1	8.57155e-1	642	20111
Heart_Left_Ventricle	X558	2.79845	6.78929e-5	FAM129A	Noninfectious gastroenteritis	1.98029e-2	1.16815e+0	593	16064
Artery_Tibial	X317.1	1.63755	6.79451e-5	SGCE	Alcoholism	1.67994e-2	1.18816e+0	511	18353
Brain_Caudate_basal_ganglia	X296.2	-0.278516	6.80300e-5	PPP2R1B	Depression	1.60928e-1	9.26720e-1	3570	14456
Breast_Mammary_Tissue	X275.6	1.8134	6.80426e-5	PDLIM4	Hypercalcemia	2.93378e-2	1.22147e+0	324	19909
Heart_Left_Ventricle	X724.1	11.6323	6.80521e-5	FAM129A	Disorders of sacrum	1.98029e-2	1.90793e+0	20	17801
Brain_Frontal_Cortex_BA9	X707.1	-0.450717	6.81183e-5	RREB1	Decubitus ulcer	5.73629e-2	8.66824e-1	795	21465
Nerve_Tibial	X250.23	0.559562	6.81465e-5	ZNF132	Type 2 diabetes with ophthalmic manifestations	3.51715e-1	1.22870e+0	415	13897
Artery_Tibial	X250	0.21955	6.81509e-5	STK33	Diabetes mellitus	2.10574e-1	1.06608e+0	5805	13897
Cells_Transformed_fibroblasts	X426.31	-1.11733	6.81990e-5	RBM48	Right bundle branch block	3.17570e-2	8.00428e-1	196	10731
Uterus	X628	0.737088	6.83009e-5	SDSL	Ovarian cyst	8.17414e-2	1.29087e+0	268	7985
Brain_Caudate_basal_ganglia	X531.2	-1.16385	6.84105e-5	RNF175	Gastric ulcer	4.65963e-2	7.51776e-1	184	21823
Thyroid	X418.1	0.460869	6.85032e-5	MUC4	Precordial pain	4.23986e-1	1.24153e+0	295	11624
Brain_Hippocampus	X818	-0.568124	6.85696e-5	CKS2	Intracranial hemorrhage (injury)	1.27769e-1	7.61034e-1	230	22261
Brain_Cortex	X415	1.22192	6.85755e-5	SHBG	Pulmonary heart disease	5.66392e-2	1.10141e+0	2117	16541
Adipose_Subcutaneous	X457.2	0.705252	6.85819e-5	B4GALT4	Encounter for long-term (current) use of antiplatelets/antithrombotics	1.39344e-1	1.32222e+0	151	15674
Stomach	X292.4	1.0085	6.86213e-5	DOK3	Altered mental status	4.76342e-2	1.10109e+0	1624	17533
Breast_Mammary_Tissue	X411	-0.261895	6.87870e-5	CARF	Ischemic Heart Disease	7.97776e-2	9.37796e-1	7603	13196
Cells_Transformed_fibroblasts	X596.1	3.3161	6.88593e-5	ETNK1	Bladder neck obstruction	1.71042e-2	1.40300e+0	90	20575
Lung	X149	0.984459	6.89583e-5	PSRC1	Cancer of larynx, pharynx, nasal cavities	2.55440e-2	1.18002e+0	563	22163
Esophagus_Gastroesophageal_Junction	X972.1	26.6851	6.89941e-5	C7orf49	Cardiac rhythm regulators causing adverse effects in therapeutic use	4.03387e-2	1.79782e+0	21	17731
Prostate	X473.4	0.672371	6.90526e-5	GNAZ	Voice disturbance	8.98948e-2	1.19092e+0	555	16459
Cells_Transformed_fibroblasts	X807	-0.726198	6.90943e-5	SCD5	Fracture of ribs	1.09962e-1	8.06410e-1	319	19279
Whole_Blood	X756.3	2.74647	6.91154e-5	TMEM165	Congenital anomalies of muscle, tendon, fascia, and connective tissue	1.22884e-2	1.92070e+0	26	22558
Esophagus_Muscularis	X117	3.28501	6.91793e-5	VPS26A	Mycoses	1.27582e-2	1.26160e+0	307	19642
Whole_Blood	X334.1	-3.14944	6.91824e-5	CDKN2C	Spinocerebellar disease	2.77589e-2	6.11461e-1	38	17257
Adipose_Visceral_Omentum	X874	-4.00232	6.92868e-5	ATG14	Complication of amputation stump	1.90711e-2	6.44688e-1	73	19977
Lung	X592.12	-2.46978	6.93608e-5	B4GALT4	Chronic cystitis	8.46007e-2	4.74018e-1	34	16050
Vagina	X736.6	2.94311	6.94581e-5	YEATS4	Unequal leg length (acquired)	2.85549e-1	2.07588e+0	34	20000
Esophagus_Muscularis	X531.5	-5.37102	6.96006e-5	ADAM20	Gastrojejunal ulcer	1.23348e-2	5.29399e-1	23	21823
Whole_Blood	X531.5	-3.91842	6.96190e-5	ARHGEF4	Gastrojejunal ulcer	5.61011e-2	6.21705e-1	23	21823
Adipose_Subcutaneous	X564	-7.98174	6.96336e-5	PDE6B	Functional digestive disorders	1.85582e-2	8.77869e-1	768	16064
Thyroid	X626.13	2.25507	6.96948e-5	MARCH6	Irregular menstrual cycle	7.06435e-2	1.35880e+0	248	7985
Skin_Sun_Exposed_Lower_leg	X425	0.319204	6.97742e-5	DNAJB1	Cardiomyopathy	1.12563e-1	1.09649e+0	2019	19395
Small_Intestine_Terminal_Ileum	X275	-0.20326	6.99078e-5	SLC52A1	Disorders of mineral metabolism	2.14991e-1	9.05809e-1	1798	19909
Lung	X526.41	6.59269	6.99758e-5	PHOSPHO2	Temporomandibular joint disorder, unspecified	1.98136e-2	1.89518e+0	46	21330
Stomach	X344	18.9536	7.00710e-5	SSB	Other paralytic syndromes	5.09937e-2	1.19953e+0	239	17257
Adrenal_Gland	X433.3	-0.598954	7.01734e-5	STAM	Cerebral ischemia	4.70298e-2	9.04320e-1	1505	17383
Uterus	X797.1	-0.595354	7.02812e-5	ZDHHC4	Cardiogenic shock	9.98879e-2	7.85898e-1	265	21736
Colon_Sigmoid	X592.1	4.56063	7.02979e-5	IFITM3	Cystitis	3.46021e-2	1.22736e+0	309	16050
Muscle_Skeletal	X930	38.6198	7.06559e-5	NTRK3	Allergic reaction to food	2.55223e-2	1.10040e+0	89	18931
Skin_Sun_Exposed_Lower_leg	X963.1	-0.438885	7.06966e-5	MUT	Antineoplastic and immunosuppressive drugs causing adverse effects	2.42833e-1	8.41586e-1	607	17731
Ovary	X245.2	-18.09	7.07289e-5	ABT1	Chronic thyroiditis	5.03716e-2	7.42895e-1	127	17866
Brain_Putamen_basal_ganglia	X110.11	0.720029	7.07404e-5	CRY2	Dermatophytosis of nail	7.78879e-2	1.20404e+0	637	19642
Lung	X411.1	-0.736168	7.08333e-5	CARF	Unstable angina (intermediate coronary syndrome)	4.08478e-2	8.89704e-1	1440	13196
Skin_Sun_Exposed_Lower_leg	X526.9	1.84258	7.08895e-5	PDIA6	Jaw disease NOS	8.55789e-2	1.57544e+0	59	21330
Colon_Transverse	X174	-0.924029	7.10501e-5	FHDC1	Breast cancer	5.84446e-2	8.57716e-1	864	20722
Nerve_Tibial	X317	0.407515	7.11151e-5	SGCE	Alcohol-related disorders	1.76788e-1	1.16120e+0	686	18353
Muscle_Skeletal	X361	-1.06381	7.13156e-5	PSMB2	Retinal detachments and defects	3.67962e-2	7.53041e-1	187	20443
Cells_Transformed_fibroblasts	X550.6	0.612058	7.13176e-5	SDSL	Incisional hernia	9.19195e-2	1.18672e+0	430	19614
Thyroid	X364.4	1.67025	7.13192e-5	CAPN9	Corneal degenerations	2.23414e-1	1.90795e+0	35	20443
Testis	X711.1	1.64351	7.13261e-5	RASL11A	Pyogenic arthritis	5.40061e-2	1.42182e+0	147	18237
Spleen	X250.12	0.940875	7.13512e-5	ATAT1	Type 1 diabetes with renal manifestations	1.15527e-1	1.32564e+0	201	13897
Thyroid	X385.5	1.33499	7.15427e-5	CLOCK	Tympanosclerosis and middle ear disease related to otitis media	1.99792e-1	1.75145e+0	27	20771
Adipose_Subcutaneous	X411.3	-0.437867	7.15819e-5	CARF	Angina pectoris	1.08900e-1	8.89641e-1	1375	13196
Heart_Atrial_Appendage	X480.12	1.72623	7.19856e-5	PRDM15	Pseudomonal pneumonia	1.19881e-1	1.41682e+0	157	16775
Brain_Frontal_Cortex_BA9	X800.1	-0.757067	7.20388e-5	BAAT	Fracture of neck of femur	7.93702e-2	8.39389e-1	388	19279
Colon_Transverse	X174.11	-0.96115	7.23109e-5	FHDC1	Malignant neoplasm of female breast	5.84446e-2	8.52002e-1	802	9188
Uterus	X264.9	-1.26801	7.23713e-5	WFDC3	Lack of normal physiological development, unspecified	2.57351e-1	6.97118e-1	108	16572
Whole_Blood	X451.2	-2.07321	7.24310e-5	PDIA6	Phlebitis and thrombophlebitis of lower extremities	1.22676e-2	7.21525e-1	140	15674
Pituitary	X159	-0.719809	7.28716e-5	PHOSPHO2	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	2.67870e-1	8.03516e-1	316	20027
Cells_Transformed_fibroblasts	X691.3	-4.06624	7.30470e-5	SGCE	Congenital pigmentary anomalies of skin	1.76613e-2	6.06944e-1	32	19985
Brain_Cerebellar_Hemisphere	X586.12	3.11016	7.30540e-5	EPO	Vesicoureteral reflux	7.44277e-2	1.78435e+0	74	15383
Prostate	X281.12	-18.7212	7.31734e-5	KIAA0513	Other vitamin B12 deficiency anemia	7.61280e-2	8.08515e-1	213	13144
Testis	X264.9	-0.560774	7.33932e-5	WFDC3	Lack of normal physiological development, unspecified	6.27010e-1	6.94184e-1	108	16572
Small_Intestine_Terminal_Ileum	X189.12	-1.94557	7.34040e-5	TAS2R10	Malignant neoplasm of renal pelvis	6.27898e-2	7.11461e-1	110	22100
Muscle_Skeletal	X571.5	-0.542946	7.34159e-5	HORMAD1	Other chronic nonalcoholic liver disease	1.11845e-1	8.90834e-1	1336	16784
Brain_Cortex	X276.5	0.472571	7.35904e-5	AGTPBP1	Hypovolemia	7.21637e-2	1.08965e+0	2728	13027
Adipose_Subcutaneous	X172.11	-0.810273	7.36213e-5	CDC42BPA	Melanomas of skin	8.79090e-2	8.32377e-1	466	19049
Spleen	X333.2	-1.05092	7.36325e-5	DNAJA4	Myoclonus	1.28525e-1	6.30283e-1	79	17257
Esophagus_Muscularis	X292.4	0.978564	7.37255e-5	KCNMB1	Altered mental status	3.72625e-2	1.11489e+0	1624	17533
Breast_Mammary_Tissue	X259	1.77828	7.37757e-5	TAS2R10	Other endocrine disorders	6.54122e-2	1.37263e+0	130	19664
Colon_Sigmoid	X562.1	1.14731	7.39017e-5	TRPC6	Diverticulosis	3.38093e-2	1.11697e+0	1341	16064
Whole_Blood	X836	-2.53608	7.39414e-5	ITGB7	Traumatic arthropathy	1.38902e-2	6.39798e-1	84	21540
