tissue	phecode	beta	p-value	gene	trait	r2	no of cases	no of controls
Esophagus-GastroesophagealJunction	X550.6	-1.59371	2.09624e-6	PFKL	Incisional hernia	6.85197e-2	237	7524
Thyroid	X250.22	-2.80088	2.17132e-6	NOTCH4	Type 2 diabetes with renal manifestations	4.50909e-3	547	4936
Stomach	X117.1	3.7322	2.25041e-6	PRPF3	Histoplasmosis	6.31238e-3	30	7391
Colon-Transverse	X728	19.0672	2.32591e-6	NSF	Disorders of muscle, ligament, and fascia	4.46840e-3	27	6730
Breast-MammaryTissue	X250.14	-1.99552	2.35627e-6	NOTCH4	Type 1 diabetes with neurological manifestations	2.85199e-2	168	4936
Stomach	X550	0.251151	2.40055e-6	PSORS1C2	Abdominal hernia	4.55181e-1	947	7524
Esophagus-Mucosa	X525	-2.54089	2.40076e-6	NUP153	Other diseases of the teeth and supporting structures	2.18457e-2	78	8243
Testis	X259.2	-0.747898	2.42080e-6	NXPH2	Carcinoid syndrome	6.32892e-2	20	7558
Breast-MammaryTissue	X327.4	0.866252	2.42857e-6	OR9A4	Insomnia	7.36608e-2	457	6920
Thyroid	X379.3	11.7307	2.44086e-6	OST4	Aphakia and other disorders of lens	6.49241e-3	20	7801
Adipose-Subcutaneous	X81.12	7.99363	2.45972e-6	QPRT	Chronic graft-versus-host disease	4.58924e-3	24	7508
Artery-Aorta	X595	2.78376	2.54506e-6	NPTX1	Hydronephrosis	2.07540e-2	248	7352
Skin-NotSunExposed-Suprapubic	X170.1	-1.96498	2.56754e-6	PTPRK	Bone cancer	1.41947e-2	136	8731
Esophagus-Mucosa	X217	3.24811	2.60631e-6	PRICKLE2	Vascular hamartomas and non-neoplastic nevi	6.30232e-3	41	7709
Esophagus-Mucosa	X389.1	-10.5668	2.61025e-6	PKD1L1	Sensorineural hearing loss	3.93460e-2	495	7899
Skin-SunExposed-Lowerleg	X556.1	-14.3114	2.62861e-6	PTCD3	Ulceration of intestine	5.14433e-3	39	5956
Esophagus-GastroesophagealJunction	X723	-5.36372	2.64723e-6	NXPE4	Other disorders of cervical region	5.34706e-3	39	6852
Brain-Cerebellum	X646	-0.569804	2.66652e-6	QRICH1	Other complications of pregnancy NEC	1.41669e-1	22	9082
AdrenalGland	X743.2	-10.2471	2.69724e-6	PCDHGA2	Pathologic fracture	5.05543e-3	218	6588
Brain-Hippocampus	X362.4	21.3687	2.72639e-6	PTCD3	Retinal vascular changes and abnomalities	6.60537e-2	78	7724
Artery-Coronary	X614.3	-24.7873	2.77285e-6	PCDH12	Pelvic inflammatory disease (PID)	7.84089e-3	34	8581
Heart-LeftVentricle	X362.6	23.8781	2.79749e-6	PRR3	Peripheral retinal degenerations	1.97559e-2	27	7724
Brain-Hypothalamus	X426.2	-6.27054	2.80799e-6	QPRT	Atrioventricular [AV] block	1.37635e-2	302	4456
Breast-MammaryTissue	X315.2	21.2058	2.82624e-6	NLRP3	Speech and language disorder	5.73621e-3	21	8646
Lung	X594.8	-7.90816	2.83973e-6	PLA2G12B	Renal colic	9.07947e-3	24	8065
Brain-Cerebellum	X580.1	-3.20582	2.85821e-6	NOTCH4	Glomerulonephritis	1.66461e-2	131	5644
Stomach	X324	38.7084	2.90177e-6	PRMT5	Other CNS infection and poliomyelitis	1.92408e-2	61	8848
Artery-Coronary	X610.1	6.56653	2.95779e-6	NFXL1	Cystic mastopathy	4.24455e-3	156	7907
Esophagus-Mucosa	X470	0.92993	2.97642e-6	NPIPB4	Septal Deviations/Turbinate Hypertrophy	6.01981e-2	322	6193
Cells-EBV-transformedlymphocytes	X296.1	-1.49601	2.98419e-6	PRPF31	Bipolar	1.03668e-1	215	5392
Thyroid	X38.2	3.10955	3.03521e-6	NUP43	Gram positive septicemia	2.03825e-2	148	6607
Esophagus-GastroesophagealJunction	X571.8	1.37448	3.03759e-6	PLEKHJ1	Liver abscess and sequelae of chronic liver disease	3.80667e-2	221	6421
Colon-Transverse	X81.1	-34.7624	3.05229e-6	PRRT2	Graft-versus-host disease	8.85050e-3	35	7508
Brain-Hypothalamus	X447.1	-0.114372	3.10908e-6	PXDC1	Stricture of artery	1.22735e-2	38	6676
Breast-MammaryTissue	X117.1	10.6175	3.12696e-6	OR52K1	Histoplasmosis	2.80354e-2	30	7391
Esophagus-GastroesophagealJunction	X429.2	1.42933	3.14193e-6	PTEN	Abnormal function study of cardiovascular system	2.90791e-2	141	6286
Heart-LeftVentricle	X184.2	-4.28638	3.16381e-6	NUP153	Cancer of other female genital organs	4.85856e-2	33	7989
Lung	X362.22	8.18881	3.17285e-6	PLEKHO2	Macular degeneration, wet	1.01001e-2	40	7724
Artery-Tibial	X202.23	3.00097	3.23613e-6	OR52K1	Lymphosarcoma	9.31659e-3	89	8016
Pancreas	X625.1	1.53723	3.23635e-6	PAF1	Dyspareunia	7.25818e-2	32	8364
Stomach	X580.14	62.8483	3.37107e-6	PTPRR	Chronic glomerulonephritis, NOS	2.50206e-2	41	5644
AdrenalGland	X619.1	-50.5803	3.40575e-6	NGFR	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	1.91802e-2	31	8667
Brain-Nucleusaccumbens-basalganglia	X285.21	2.34459	3.40906e-6	OR1E2	Anemia in chronic kidney disease	2.00447e-3	282	4684
Colon-Sigmoid	X540.11	3.16572	3.42164e-6	PREX2	Acute appendicitis	4.56696e-2	38	9038
Artery-Tibial	X252.2	3.72947	3.43070e-6	OR5AU1	Hypoparathyroidism	7.30108e-2	24	7558
Esophagus-Mucosa	X427.22	-3.93654	3.49526e-6	PIGO	Atrial flutter	3.55024e-3	358	4456
SmallIntestine-TerminalIleum	X190	1.07816	3.52999e-6	NFATC2	Cancer of eye	2.82081e-2	24	8655
Brain-FrontalCortex-BA9	X285.2	-0.271574	3.53689e-6	PIGV	Anemia of chronic disease	1.33428e-1	877	4684
Thyroid	X215	2.56799	3.56308e-6	PRKCDBP	Other benign neoplasm of connective and other soft tissue	7.15335e-2	28	8688
Colon-Sigmoid	X286.1	0.0311742	3.56869e-6	NME4	Congenital coagulation defects	7.56199e-2	34	5981
Stomach	X736	6.32203	3.59041e-6	OR6N1	Other acquired deformities of limbs	6.03478e-2	53	7256
Cells-Transformedfibroblasts	X370.2	-2.7463	3.59247e-6	PSMD3	Superficial keratitis	6.49756e-2	20	7798
Testis	X255.1	2.90166	3.63069e-6	NFIC	Adrenal hyperfunction	2.67611e-2	55	7558
Colon-Sigmoid	X250.1	-0.764226	3.64672e-6	NOTCH4	Type 1 diabetes	1.54392e-2	816	4936
AdrenalGland	X256	-3.04084	3.66447e-6	PTCH2	Ovarian dysfunction	2.93204e-2	59	7558
Colon-Transverse	X350.1	-1.824	3.84090e-6	NXT1	Abnormal involuntary movements	5.14875e-2	196	7897
Liver	X253	-5.75954	3.84975e-6	PPM1G	Disorders of the pituitary gland and its hypothalamic control	1.31868e-3	149	7558
Brain-Cortex	X471	1.3753	3.93615e-6	PIGS	Nasal polyps	2.26051e-2	49	6193
Nerve-Tibial	X916	-1.55754	3.94712e-6	NOP58	Contusion	2.11398e-2	431	8090
Artery-Aorta	X681.7	1.19018	3.95491e-6	OR7D2	Cellulitis and abscess of trunk	1.53941e-1	236	6905
Brain-Caudate-basalganglia	X741.3	2.94134	3.99580e-6	PRPF19	Difficulty in walking	4.86145e-3	166	7526
Pituitary	X340.1	1.20228	4.05897e-6	PLIN1	Migrain with aura	4.97193e-2	44	8495
Skin-NotSunExposed-Suprapubic	X277.7	8.83027	4.06097e-6	NEUROD2	Dysmetabolic syndrome X	1.32706e-2	80	8608
Ovary	X217.1	-7.38848	4.06633e-6	NUDT1	Nevus, non-neoplastic	1.38415e-2	28	7709
Liver	X429.3	4.36774	4.09132e-6	OR1B1	Symptoms involving cardiovascular system	3.98980e-3	157	6286
Ovary	X853	-1.5771	4.10640e-6	PPID	Complication of colostomy or enterostomy	5.79543e-2	64	6685
Brain-FrontalCortex-BA9	X642.1	-0.0992091	4.10905e-6	POLR3B	Preeclampsia and eclampsia	3.94815e-2	32	9047
Esophagus-Mucosa	X571.6	4.98487	4.12420e-6	PNLDC1	Primary biliary cirrhosis	1.14791e-2	31	6421
Ovary	X577.1	2.91841	4.20078e-6	PCYOX1	Acute pancreatitis	8.73004e-3	151	8624
Brain-Putamen-basalganglia	X296	-0.453914	4.23822e-6	NWD1	Mood disorders	7.45947e-2	1835	5392
Adipose-Subcutaneous	X459	2.95975	4.25125e-6	PSMC4	Other disorders of circulatory system	1.04214e-3	318	6597
Lung	X117.4	2.58073	4.27904e-6	PPM1G	Aspergillosis	3.36014e-2	32	7391
Artery-Coronary	X287.1	3.37286	4.30355e-6	RAB15	Spontaneous ecchymoses	6.97288e-3	21	5981
Heart-AtrialAppendage	X759	-3.97613	4.38702e-6	PTCD3	Other and unspecified congenital anomalies	5.26811e-3	65	8947
Heart-LeftVentricle	X286.1	21.0249	4.41789e-6	PRSS57	Congenital coagulation defects	1.05638e-2	34	5981
Heart-LeftVentricle	X283	-70.2662	4.46000e-6	PI4K2A	Acquired hemolytic anemias	2.46856e-3	39	4684
Brain-Putamen-basalganglia	X367.9	0.214425	4.48125e-6	NOS2	Blindness and low vision	2.56690e-1	123	8335
Esophagus-GastroesophagealJunction	X571.81	1.6382	4.57280e-6	PLEKHJ1	Portal hypertension	3.80667e-2	131	6421
Artery-Coronary	X611.1	4.71912	4.59041e-6	NFXL1	Abnormal mammogram	4.24455e-3	444	8102
Adipose-Subcutaneous	X442.3	17.0329	4.59565e-6	OR2AT4	Aneurysm of artery of lower extremity	5.81000e-3	34	6676
Skin-SunExposed-Lowerleg	X364	5.97032	4.60804e-6	PAPD7	Corneal opacity and other disorders of cornea	3.34925e-3	60	7724
Artery-Tibial	X519.8	3.67762	4.61028e-6	PHF19	Other diseases of respiratory system, NEC	2.83891e-2	39	8048
Cells-EBV-transformedlymphocytes	X362.9	-4.68921	4.63871e-6	NTNG2	Retinal edema	1.98851e-2	48	7724
Cells-EBV-transformedlymphocytes	X540.1	5.03648	4.72408e-6	PRR23C	Appendicitis	2.60113e-3	53	9038
Skin-NotSunExposed-Suprapubic	X512.1	1.56127	4.72965e-6	POTEM	Wheezing	1.76190e-2	196	3702
Brain-FrontalCortex-BA9	X459.1	26.0161	4.74578e-6	PTPN7	Hemorrhage NOS	1.52732e-2	50	6597
AdrenalGland	X705.8	-14.7506	4.75119e-6	PABPC4L	Hyperhidrosis	3.86631e-2	50	8052
Pancreas	X447	-1.05691	4.75209e-6	NELFCD	Other disorders of arteries and arterioles	2.34338e-1	102	6676
SmallIntestine-TerminalIleum	X430.3	-31.6383	4.78960e-6	PYHIN1	Subdural hemorrhage	2.47978e-2	79	6934
Esophagus-Muscularis	X215	2.24718	4.84414e-6	PRKCDBP	Other benign neoplasm of connective and other soft tissue	9.49408e-2	28	8688
Cells-EBV-transformedlymphocytes	X540	4.9889	4.94537e-6	PRR23C	Appendiceal conditions	2.60113e-3	57	9038
Colon-Sigmoid	X624.9	2.12252	4.94780e-6	OSGEPL1	stress incontinence, female	2.50653e-2	172	8364
Esophagus-Muscularis	X618.5	-14.9946	4.99459e-6	PLA2R1	Prolapse of vaginal vault after hysterectomy	4.78353e-3	50	8882
Nerve-Tibial	X597.8	-6.90007	5.00093e-6	PMVK	Urethral hypermobility/ISD	2.22459e-3	61	8074
Esophagus-Muscularis	X285.22	-4.51359	5.10401e-6	OBFC1	Anemia in neoplastic disease	2.75815e-3	421	4684
SmallIntestine-TerminalIleum	X367.9	-1.48708	5.18607e-6	PIGS	Blindness and low vision	1.16887e-2	123	8335
Brain-Caudate-basalganglia	X90	0.0264221	5.20657e-6	NPIPB3	Sexually transmitted infections (not HIV or hepatitis)	2.81135e-2	23	9069
Spleen	X575.7	38.235	5.20845e-6	RAD23B	Other disorders of gallbladder	7.01547e-2	37	8056
AdrenalGland	X447	-1.64767	5.27419e-6	NELFCD	Other disorders of arteries and arterioles	1.02216e-1	102	6676
Heart-LeftVentricle	X470	1.10002	5.33391e-6	NPIPB4	Septal Deviations/Turbinate Hypertrophy	6.97679e-2	322	6193
Heart-AtrialAppendage	X250.3	-2.04788	5.35037e-6	RAB5A	Insulin pump user	6.08394e-3	680	4936
SmallIntestine-TerminalIleum	X353.2	-34.7568	5.38710e-6	PECR	Nerve root lesions	1.19811e-3	27	7504
Brain-Nucleusaccumbens-basalganglia	X523	3.73782	5.38976e-6	RAB1B	Gingival and periodontal diseases	1.52069e-3	133	8243
Stomach	X696.42	-2.51855	5.41813e-6	PSMD3	Psoriatic arthropathy	2.60273e-2	43	7172
Brain-Putamen-basalganglia	X471	0.290937	5.42585e-6	NOS2	Nasal polyps	2.56690e-1	49	6193
Brain-Nucleusaccumbens-basalganglia	X300.4	12.9347	5.45582e-6	PIGS	Dysthymic disorder	6.13138e-2	315	5392
Pituitary	X202.24	3.01745	5.52564e-6	PCGF6	Large cell lymphoma	1.76856e-2	169	8016
Cells-Transformedfibroblasts	X530.14	9.03083	5.57374e-6	OLFM4	Reflux esophagitis	6.02920e-3	39	5130
Cells-Transformedfibroblasts	X560.2	5.44264	5.57718e-6	PDX1	Impaction of intestine	6.79041e-3	28	5956
Stomach	X733.4	-4.66313	5.64876e-6	PHLDB2	Aseptic necrosis of bone	2.74203e-3	109	8372
Esophagus-Muscularis	X724.8	31.3717	5.69542e-6	PIGS	Other symptoms referable to back	1.06712e-2	21	6852
Breast-MammaryTissue	X560.4	6.12295	5.72009e-6	PLCD1	Other intestinal obstruction	1.32964e-3	296	5956
Brain-Hippocampus	X817	-20.5525	5.73063e-6	PLCL1	Concussion	2.89306e-2	29	8639
AdrenalGland	X353	3.49727	5.74654e-6	OR9A4	Nerve root and plexus disorders	5.81147e-3	67	7504
AdrenalGland	X227.3	-1.10546	5.74900e-6	NUP107	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	1.40347e-1	54	8574
Brain-Nucleusaccumbens-basalganglia	X250.14	3.61069	5.74967e-6	OR1B1	Type 1 diabetes with neurological manifestations	1.22710e-3	168	4936
Testis	X754	4.71657	5.77461e-6	NR2F2	Congenital musculoskeletal deformities of spine	2.30588e-2	34	8697
Pancreas	X550	0.454674	5.79886e-6	PSORS1C1	Abdominal hernia	8.81303e-2	947	7524
Artery-Aorta	X704.8	8.77096	5.81424e-6	OR5P3	Other specified diseases of hair and hair follicles	2.09558e-3	80	8443
Spleen	X599	2.00554	5.86163e-6	NLRP11	Other symptoms/disorders or the urinary system	2.97417e-2	1637	6083
Brain-Putamen-basalganglia	X427.42	-0.0717539	5.91793e-6	OST4	Cardiac arrest	2.96421e-2	99	4456
Artery-Tibial	X736.6	-5.57241	5.92340e-6	P2RY2	Unequal leg length (acquired)	3.25801e-2	20	7256
Brain-Caudate-basalganglia	X315.3	7.27449	5.94476e-6	PAQR3	Mental retardation	1.23708e-3	50	8646
Colon-Transverse	X285.22	-6.23795	5.98734e-6	OBFC1	Anemia in neoplastic disease	5.90352e-3	421	4684
Artery-Tibial	X526.4	102.094	6.03042e-6	PROK2	Temporomandibular joint disorders	1.93411e-3	44	8243
Colon-Transverse	X315	9.79733	6.07073e-6	ONECUT3	Develomental delays and disorders	1.21601e-2	150	8646
Ovary	X374.3	10.1674	6.09120e-6	PRKAA1	Ptosis of eyelid	2.72525e-2	75	7798
Artery-Tibial	X110.12	73.7003	6.09326e-6	PAH	Althete's foot	2.06488e-2	50	7391
Nerve-Tibial	X728.1	12.3098	6.09788e-6	RAD51B	Muscular calcification and ossification	3.33320e-3	20	6730
Skin-NotSunExposed-Suprapubic	X194	6.34168	6.15499e-6	PRR5L	Cancer of other endocrine glands	7.15340e-3	31	8718
Esophagus-Muscularis	X253.2	0.988428	6.20610e-6	PTGFRN	Pituitary hypofunction	2.80287e-2	45	7558
Lung	X430.1	7.09433	6.23835e-6	PLEKHG4	Subarachnoid hemorrhage	5.58246e-2	51	6934
Lung	X300.12	4.47724	6.28555e-6	PDIA5	Agorophobia, social phobia, and panic disorder	9.48431e-3	87	5392
Thyroid	X149.9	-6.41795	6.36732e-6	NHLH2	Cancer of of nasal cavities	9.62989e-3	28	8031
Skin-NotSunExposed-Suprapubic	X371.21	2.54233	6.40103e-6	PLEKHO2	Allergic conjunctivitis	4.08326e-2	108	7798
Heart-LeftVentricle	X447	-1.09921	6.42827e-6	NELFCD	Other disorders of arteries and arterioles	2.13986e-1	102	6676
Brain-Hypothalamus	X175	0.106359	6.47635e-6	PGK2	Acquired absence of breast	1.12465e-2	83	8088
Brain-Cortex	X250.12	-0.868951	6.53062e-6	NOTCH4	Type 1 diabetes with renal manifestations	1.51111e-1	137	4936
Brain-Cerebellum	X585.32	-1.58781	6.69441e-6	NOTCH4	End stage renal disease	1.66461e-2	597	5644
Liver	X656.2	6.86061	6.71810e-6	PTH2R	Respiratory conditions of fetus and newborn	1.21362e-2	43	9027
Colon-Sigmoid	X333.1	3.0312	6.73213e-6	RAB24	Essential tremor	8.03742e-3	99	6544
SmallIntestine-TerminalIleum	X335	-3.15976	6.73620e-6	PRRT1	Multiple sclerosis	1.83358e-2	84	6421
Stomach	X415	-2.29032	6.80353e-6	OR7A5	Pulmonary heart disease	2.48213e-3	707	6945
Pituitary	X290.13	-5.24151	6.80590e-6	OGDH	Senile dementia	9.55102e-3	85	6654
Esophagus-Mucosa	X250.1	-0.548912	6.83198e-6	NOTCH4	Type 1 diabetes	5.10280e-2	816	4936
Brain-Hypothalamus	X370.1	0.17015	6.84309e-6	PFDN1	Corneal ulcer	1.04540e-1	23	7798
Esophagus-Mucosa	X215	3.05747	6.87270e-6	PRKCDBP	Other benign neoplasm of connective and other soft tissue	7.25360e-2	28	8688
Esophagus-GastroesophagealJunction	X481	2.31017	6.92799e-6	PTF1A	Influenza	4.83053e-3	139	6217
Heart-AtrialAppendage	X285.22	-4.2521	6.97273e-6	OBFC1	Anemia in neoplastic disease	1.23624e-3	421	4684
Esophagus-GastroesophagealJunction	X454	1.17008	6.98767e-6	OR52K1	Varicose veins	1.62409e-1	119	6144
Pancreas	X279.11	1.43084	7.08449e-6	PDCL3	Deficiency of humoral immunity	2.01374e-2	57	8183
Cells-EBV-transformedlymphocytes	X443.8	-9.09074	7.09349e-6	PSME3	Other specified peripheral vascular diseases	3.74687e-2	55	6676
Cells-Transformedfibroblasts	X443.8	-36.9889	7.09349e-6	RAMP2	Other specified peripheral vascular diseases	5.27518e-3	55	6676
Nerve-Tibial	X285.2	0.854613	7.19214e-6	OCLN	Anemia of chronic disease	4.82656e-2	877	4684
Thyroid	X296.1	29.4504	7.21840e-6	PMVK	Bipolar	3.07943e-2	215	5392
Breast-MammaryTissue	X433.12	0.689812	7.26037e-6	PSORS1C2	Cerebral atherosclerosis	3.95121e-1	112	6934
Brain-Hippocampus	X442.3	-3.34757	7.26714e-6	OSBPL9	Aneurysm of artery of lower extremity	1.15421e-2	34	6676
Liver	X749	-5.72695	7.26862e-6	NELFCD	Congenital anomalies of face and neck	7.20220e-3	28	8994
Brain-Cerebellum	X215	8.66335	7.27950e-6	PMPCA	Other benign neoplasm of connective and other soft tissue	2.76639e-3	28	8688
Liver	X447	-3.30892	7.30768e-6	NELFCD	Other disorders of arteries and arterioles	7.20220e-3	102	6676
Muscle-Skeletal	X447	-0.87932	7.37157e-6	NELFCD	Other disorders of arteries and arterioles	2.40918e-1	102	6676
Ovary	X340	0.363947	7.37851e-6	OR9G4	Migraine	2.45775e-1	323	8495
Esophagus-Mucosa	X78	-1.71028	7.46801e-6	PABPC3	Viral warts & HPV	2.00119e-2	201	7233
Pituitary	X378.5	-22.1043	7.47658e-6	PTH2R	Paralytic strabismus	1.66145e-1	28	7801
Cells-EBV-transformedlymphocytes	X381.11	6.84792	7.48195e-6	PTF1A	Suppurative and unspecified otitis media	5.11035e-3	177	8088
Brain-Cortex	X634	1.34925	7.48750e-6	RABGGTB	Miscarriage; stillbirth	5.11507e-2	31	8943
Lung	X159.3	-5.96786	7.51794e-6	PLAC8	Malignant neoplasm of gallbladder and extrahepatic bile ducts	1.15114e-2	34	8073
Brain-Nucleusaccumbens-basalganglia	X288	-1.04949	7.56349e-6	PFKL	Diseases of white blood cells	5.06975e-3	1497	5851
Pituitary	X287.1	-0.0404535	7.58338e-6	PTP4A2	Spontaneous ecchymoses	1.13416e-3	21	5981
Muscle-Skeletal	X689	19.1341	7.58557e-6	PXMP4	Disorder of skin and subcutaneous tissue NOS	5.80750e-3	184	8494
Brain-Putamen-basalganglia	X250.7	-1.13428	7.62332e-6	NOTCH4	Diabetic retinopathy	2.15963e-2	274	4644
Brain-Cortex	X70.4	12.9683	7.63464e-6	PDXK	Chronic hepatitis	2.65559e-2	56	7233
Cells-EBV-transformedlymphocytes	X172.1	6.13177	7.73815e-6	PTGFRN	Melanomas of skin, dx or hx	6.34961e-3	216	7391
Esophagus-GastroesophagealJunction	X244.2	13.1906	7.74747e-6	NUBPL	Acquired hypothyroidism	4.62865e-2	73	7001
Testis	X530.13	27.6652	7.76969e-6	NPIPB4	Barrett's esophagus	2.07224e-3	42	5130
Nerve-Tibial	X320	-0.918582	7.77415e-6	PROCA1	Meningitis	3.14422e-1	79	8848
Skin-SunExposed-Lowerleg	X535.2	2.46308	7.81292e-6	OR52K2	Atrophic gastritis	1.09195e-2	34	7579
Brain-Cerebellum	X253.1	4.26011	7.82282e-6	POTEM	Pituitary hyperfunction	4.98543e-3	33	7558
Brain-Hippocampus	X876	2.80928	7.84672e-6	NUBPL	Posttraumatic wound infection not elsewhere classified	6.03065e-3	43	7534
Ovary	X714.1	0.76383	7.86002e-6	NOTCH4	Rheumatoid arthritis	7.30641e-2	310	6807
Artery-Coronary	X227	2.16766	8.02432e-6	NTS	Benign neoplasm of other endocrine glands and related structures	1.82685e-2	86	8574
Brain-FrontalCortex-BA9	X264	-1.75319	8.04444e-6	PMVK	Lack of normal physiological development	4.71223e-2	147	6138
Brain-Putamen-basalganglia	X286.12	0.267175	8.05868e-6	PEX16	Congenital deficiency of other clotting factors (including factor VII)	1.31702e-3	24	5981
Breast-MammaryTissue	X710.11	-3.81687	8.07979e-6	PPID	Acute osteomyelitis	1.55891e-2	101	7311
Brain-CerebellarHemisphere	X621	0.479533	8.08676e-6	PXMP4	Endometrial hyperplasia	4.32942e-2	24	8951
Colon-Transverse	X250.1	0.863646	8.33430e-6	PRRT1	Type 1 diabetes	7.57281e-2	816	4936
Esophagus-Mucosa	X296.2	1.12509	8.37557e-6	PHYHIPL	Depression	4.23491e-3	1635	5392
Skin-SunExposed-Lowerleg	X573.9	-6.89371	8.38914e-6	OST4	Abnormal serum enzyme levels	1.84695e-3	185	6421
Muscle-Skeletal	X250.7	-1.30873	8.45036e-6	NOTCH4	Diabetic retinopathy	3.76120e-2	274	4644
Cells-EBV-transformedlymphocytes	X597.1	5.40616	8.48939e-6	PSG5	Urethral stricture (not specified as infectious)	1.06306e-3	60	8074
Brain-Putamen-basalganglia	X568.1	10.0224	8.61246e-6	OBSCN	Peritoneal adhesions (postoperative) (postinfection)	1.43848e-2	96	7242
Testis	X300.4	1.23177	8.65960e-6	PRTN3	Dysthymic disorder	3.74446e-2	315	5392
Esophagus-GastroesophagealJunction	X756	-5.1648	8.70739e-6	PEAR1	Other congenital musculoskeletal anomalies	8.69795e-3	28	8660
Brain-CerebellarHemisphere	X790	3.31684	8.72267e-6	PSG4	Nonspecific findings on examination of blood	1.98602e-3	49	7554
Brain-Putamen-basalganglia	X874	-0.620829	8.73306e-6	PLA2G4A	Complication of amputation stump	1.64218e-3	45	7534
Lung	X320	-1.38463	8.83195e-6	PROCA1	Meningitis	1.27795e-1	79	8848
Esophagus-Muscularis	X252	-6.49718	8.83938e-6	POU2AF1	Disorders of parathyroid gland	1.83221e-3	141	7558
Brain-Anteriorcingulatecortex-BA24	X724.8	29.2092	8.84716e-6	PRDM4	Other symptoms referable to back	3.75552e-2	21	6852
AdrenalGland	X577	1.24607	8.89166e-6	PDHB	Diseases of pancreas	5.49273e-2	337	8624
Lung	X713.5	72.2854	8.91459e-6	PROK2	Arthropathy associated with neurological disorders	1.35435e-2	58	7311
Brain-Caudate-basalganglia	X70	2.85135	8.95202e-6	NETO2	Viral hepatitis	9.70072e-3	226	7233
Heart-AtrialAppendage	X250.1	1.61531	9.09304e-6	PRRT1	Type 1 diabetes	3.84818e-3	816	4936
Adipose-Subcutaneous	X540.11	4.13319	9.11932e-6	PTPRK	Acute appendicitis	1.06301e-2	38	9038
Pituitary	X705	-7.57815	9.16542e-6	PHAX	Disorders of sweat glands	2.58301e-2	38	8052
Liver	X800.4	10.8164	9.17906e-6	PSG5	Fracture of patella	4.38779e-2	59	7283
Liver	X253.7	-12.448	9.23871e-6	PPM1G	Other disorders of neurohypophysis	1.31868e-3	22	7558
Lung	X707.3	-2.35864	9.30223e-6	PSMC2	Chronic ulcer of unspecified site	1.58232e-2	106	8269
Brain-Hippocampus	X619.2	5.64554	9.31720e-6	PFKFB2	Disorders of uterus, NEC	1.47060e-2	23	8667
Brain-Putamen-basalganglia	X296.2	-0.457856	9.33905e-6	NWD1	Depression	7.45947e-2	1635	5392
Brain-Hippocampus	X425.2	0.525588	9.36047e-6	PAX6	Secondary/extrinsic cardiomyopathies	6.69689e-2	235	7787
Brain-Hypothalamus	X575.2	-1.84425	9.36781e-6	OARD1	Obstruction of bile duct	5.96648e-3	93	8056
Brain-Cortex	X766	0.983707	9.37871e-6	OTOGL	Neuralgia, neuritis, and radiculitis NOS	1.99449e-2	304	7889
Ovary	X454.11	-3.12783	9.41191e-6	PPP1R7	Varicose veins of lower extremity, symptomtic	3.60548e-3	66	6144
Artery-Coronary	X447	-0.885859	9.41501e-6	NELFCD	Other disorders of arteries and arterioles	3.33375e-1	102	6676
Pituitary	X535.6	0.474694	9.42516e-6	RANBP3	Duodenitis	8.08703e-2	25	7579
Brain-Putamen-basalganglia	X710.11	-3.00961	9.44725e-6	PPID	Acute osteomyelitis	1.54055e-2	101	7311
Cells-EBV-transformedlymphocytes	X649.1	-8.19188	9.47154e-6	PCM1	Diabetes or abnormal glucose tolerance complicating pregnancy	4.72749e-2	45	8965
AdrenalGland	X215	1.86533	9.50971e-6	PRKCDBP	Other benign neoplasm of connective and other soft tissue	1.19611e-1	28	8688
AdrenalGland	X772.4	-5.19532	9.51511e-6	PSAT1	Rhabdomyolysis	2.47135e-2	35	7828
Brain-Hippocampus	X803.21	2.27071	9.61061e-6	PTTG1IP	Colles' fracture	7.67549e-2	29	7283
AdrenalGland	X550	0.246377	9.62291e-6	PSORS1C1	Abdominal hernia	4.91946e-1	947	7524
Esophagus-GastroesophagealJunction	X556.1	49.2751	9.64052e-6	PDYN	Ulceration of intestine	2.30877e-2	39	5956
Brain-Putamen-basalganglia	X798.1	-3.24444	9.68728e-6	PTPN2	Chronic fatigue syndrome	2.87471e-2	20	4755
